# pattern;frequency
[==အင်္ဂလိပ်==, ===စဦးထွက်===];2
[==အင်္ဂလိပ်==, ===ဆက်စပ်အသုံးများ===];1
[==အင်္ဂလိပ်==, ===ဆက်နွယ် ဝေါဟာရများ===];1
[==အင်္ဂလိပ်==, ===ဆင့်ပွားအသုံးများ===, ====ဆက်စပ်အသုံးများ====];1
[==အင်္ဂလိပ်==, ===ဆင့်ပွားအသုံးများ===, ====သံတူကြောင်းကွဲများ====];1
[==အင်္ဂလိပ်==, ===ဆင့်ပွားအသုံးများ===];6
[==အင်္ဂလိပ်==, ===ဆင်းသက်လာသော အသုံးများ===, ====တခြားသုံးပုံစံများ====];2
[==အင်္ဂလိပ်==, ===ဆင်းသက်လာသော အသုံးများ===];3
[==အင်္ဂလိပ်==, ===ဆင်းသက်လာသောအသုံးများ===];1
[==အင်္ဂလိပ်==, ===ဆန့်ကျင်ဘက်===];2
[==အင်္ဂလိပ်==, ===ဆိုရိုးစကား===];1
[==အင်္ဂလိပ်==, ===တခြား အသုံးပုံစံများ===];6
[==အင်္ဂလိပ်==, ===တခြားသုံး ပုစံများ===];4
[==အင်္ဂလိပ်==, ===တခြားသုံး ပုံစံများ===];43
[==အင်္ဂလိပ်==, ===တခြားအသုံးပုစံများ===];4
[==အင်္ဂလိပ်==, ===တခြားအသုံးပုံစံများ===];3
[==အင်္ဂလိပ်==, ===တခြား​သုံး​ပုံစံ​များ===];2
[==အင်္ဂလိပ်==, ===တခြား​အသုံး​ပုံစံ​များ===];6
[==အင်္ဂလိပ်==, ===တခြား​အသုံး​များ===];2
[==အင်္ဂလိပ်==, ===တခြား​အသုံး​အနှုန်း===];1
[==အင်္ဂလိပ်==, ===တခြား​အသုံး​အနှုန်း​များ===];2
[==အင်္ဂလိပ်==, ===ဒါလည်းကြည့်ပါ===];1
[==အင်္ဂလိပ်==, ===နာမဝိသသေန===];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်တူအသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်းတူ သဲကွဲများ====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်းတူစာလုံးကွဲများ= ===];5
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်းတူသံကွဲ====];2
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်းတူသံကွဲများ====];5
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ကြောင်းတူအသုံးများ====];34
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆက်စပ်အသုံးများ====];6
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆင့်ပွားအသုံး====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆင့်ပွားအသုံးများ====];19
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆင်းသက်လာသော သုံးနှုန်းများ====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆင်းသက်လာသော အသုံး====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆန့်ကျင်ဖက်များ====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆန့်ကျင်ဘက် အသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====ဆန့်ကျင်ဘက်အသုံးများ====];17
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====သက်ဆင်းလာသော အသုံးများ====];2
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====သံတူကြောင်းကွဲများ====];7
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====အနက်တူအသုံးမ��ား====];2
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===, ====အသုံးအနူန်းမှတ်စု====];1
[==အင်္ဂလိပ်==, ===နာမဝိသေသန===];1896
[==အင်္ဂလိပ်==, ===နာမဝိသေသန==];2
[==အင်္ဂလိပ်==, ===နာမဝီသေသန===, ====ကြောင်းတူသံကွဲများ====];4
[==အင်္ဂလိပ်==, ===နာမဝီသေသန===];4
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြိယာ====];2
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်းတူစာလုံးကွဲများ= ===];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်းတူစာလုံးကွဲများ====];10
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်းတူသံကွဲများ====];3
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်းတူအသုံးများ====];8
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်းတူအသုံးများ===];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ကြောင်း​တူ​စာလုံး​ကွဲ​များ====];3
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆက်စပ်အသုံးများ====];2
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆက်နွယ်သောအသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆင့်ပွား အသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆင့်ပွားအသုံးများ====];8
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆင်းသက်လာသော အသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆင်းသက်လာသောအသုံးများ====];4
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆန့်ကျင်ဘက် စကားလုံး====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဆန့်ကျင်ဘက်အသုံးများ====];3
[==အင်္ဂလိပ်==, ===နာမ်===, ====ဒါလည်းကြည့်ပါ====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====ပါဝင်သည်များ====];1
[==အင်္ဂလိပ်==, ===နာမ်===, ====သံတူကြောင်းကွဲများ====];2
[==အင်္ဂလိပ်==, ===နာမ်===, ====အရင်းခံများ====];5
[==အင်္ဂလိပ်==, ===နာမ်===, ====အရာတူအသုံးများ====];1
[==အင်္ဂလိပ်==, ===နာမ်===];4870
[==အင်္ဂလိပ်==, ===နာမ်==];2
[==အင်္ဂလိပ်==, ===နာမ​ဝိသေသ​န===];3
[==အင်္ဂလိပ်==, ===မူကွဲပုံစံ===];1
[==အင်္ဂလိပ်==, ===မူကွဲများ===];1
[==အင်္ဂလိပ်==, ===မူကွဲအသုံးများ===];17
[==အင်္ဂလိပ်==, ===မူကွဲအသုံးအနူန်း===];1
[==အင်္ဂလိပ်==, ===မူရင်း​ပြ===];2
[==အင်္ဂလိပ်==, ===မူရင်း​မြစ်​ပြ===];3
[==အင်္ဂလိပ်==, ===မူရင်း​အမြစ်​ပြ===];5
[==အင်္ဂလိပ်==, ===မူလအမြစ်ပြ===];1
[==အင်္ဂလိပ်==, ===မူလအမြစ်​ပြ===];1
[==အင်္ဂလိပ်==, ===ဝိဘတ်===];1
[==အင်္ဂလိပ်==, ===သံတူကြောင်းကွဲများ===];1
[==အင်္ဂလိပ်==, ===အခြား အသုံးပုံစံများ===];2
[==အင်္ဂလိပ်==, ===အခြား​အသုံး​ပုံစံ​များ===];3
[==အင်္ဂလိပ်==, ===အင်္ဂလိပ်===, ====နာမဝိသေသန====, =====ကြောင်းတူအသုံးများ=====];1
[==အင်္ဂလိပ်==, ===အင်္ဂလိပ်===, ====နာမဝိသေသန====];1
[==အင်္ဂလိပ်==, ===အင်္ဂလိပ်===];2
[==အင်္ဂလိပ်==, ===အတိုကောက်===];3
[==အင်္ဂလိပ်==, ===အနက်တူ ဝေါဟာရများ===];1
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====ကြားဖောက်ပြောဆိုခြင်း====];4
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====ကြိယာ====];2
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====တခြားသုံး ပုံစံများ====];2
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====နာမဝိသေသန====, =====ကြောင်းတူသံကွဲ=====];1
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====နာမဝိသေသန====, =====တခြားသုံး ပုံစံများ=====];1
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====နာမဝိသေသန====];3
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====နာမ်====, =====ကြောင်းတူစာလုံးကွဲများ=====];1
[==အင်္ဂလိပ်==, ===အသံထွက်===, ====နာမ်====];13
[==အင်္ဂလိပ်==, ===အသံထွက်===];554
[==အင်္ဂလိပ်==, ===အသံ​ထွက်===];9
[==အင်္ဂလိပ်==, ===အာမေဋိတ်===];1
[==အင်္ဂလိပ်==, ===အာမေဍိတ်===];1
[==အင်္ဂလိပ်==, ===ုကြိယာ===];1
[==အင်္ဂလိပ်==];23170
[==အသံထွက်==, ===အသံထွက်===];1
[==အသံထွက်==];1
[==အိန္ဒိယာ==];1
